family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Init 3000,Distance-based,Clustering,range,28,0.940756920995039,0.45505966011081106,0.4718748604440838,0.4718748604440838,0.9122838926887971,0.920601909137759,5.9877984035691565
Lab2Cmac011215EPG,DAMP | x_lag x8,Distance-based,Discord,range,14,0.7262976511286483,0.056083158409015496,0.05028773662364111,0.05028773662364111,0.5878044087860742,0.8511660235027092,13.047398821429981
Lab2Cmac011215EPG,Isolation Forest | Seed 7,Density-based,Tree,range,14,0.6334760492685626,0.21465920821612597,0.04799487512741588,0.04799487512741588,0.573436394823192,0.9940595408806688,0.8041098571349201
Lab2Cmac011215EPG,Isolation Forest | Max feat 0.6,Density-based,Tree,range,14,0.6314636203257592,0.21325465821282602,0.04274739420276606,0.04274739420276606,0.5697274717789244,0.9940553602304686,1.4212955071457796
Lab2Cmac011215EPG,Isolation Forest | Trees 400,Density-based,Tree,range,14,0.631007754159537,0.2204170494371607,0.04225407146507582,0.04225407146507582,0.5847397925443041,0.9940426632682993,1.5807269857115378
Lab2Cmac011215EPG,Matrix Profile | Subseq x1,Distance-based,Discord,range,14,0.7744731752459018,0.18025190387951076,0.04041048686750447,0.04041048686750447,0.45760858040330915,0.9994722377522353,0.5151983071409632
Lab2Cmac011215EPG,Isolation Forest | Baseline,Density-based,Tree,range,14,0.6356878929015659,0.21433968728853764,0.036324695143945755,0.036324695143945755,0.5798673705646443,0.9940462377589601,0.8032566785612809
Lab2Cmac011215EPG,Isolation Forest | Max samples auto,Density-based,Tree,range,14,0.6356878929015659,0.21433968728853764,0.036324695143945755,0.036324695143945755,0.5798673705646443,0.9940462377589601,0.8085481214220636
Lab2Cmac011215EPG,Isolation Forest | Bootstrap on,Density-based,Tree,range,14,0.6343444706215664,0.21518185951296484,0.033664750014182475,0.033664750014182475,0.5835990817984328,0.9940328845305285,0.6947359571349807
Lab2Cmac011215EPG,DAMP | Baseline,Distance-based,Discord,range,14,0.7131743857369861,0.04663929373883898,0.03041953665085568,0.03041953665085568,0.5615406955021296,0.6890747221563285,13.216970328565887
CIMIS44AirTemperature,Matrix Profile | Subseq x4,Distance-based,Discord,range,13,0.9408647037730907,0.3348537556839083,0.19060490291596957,0.19060490291596957,0.766461528037695,0.9896765101258189,0.06340128461642257
CIMIS44AirTemperature,SAND | Overlap 64,Distance-based,Clustering,range,13,0.970337206207512,0.1958540916680674,0.18145188776367854,0.18145188776367854,0.5943834185159319,0.9954828044459382,0.966015392303234
CIMIS44AirTemperature,SAND | Baseline,Distance-based,Clustering,range,13,0.9708078445011048,0.193847601991522,0.16973186206820048,0.16973186206820048,0.5915179763054137,0.9954837712210984,2.1937440307698965
CIMIS44AirTemperature,SAND | Alpha 0.7,Distance-based,Clustering,range,13,0.969344271928106,0.17905448345121977,0.154242054443481,0.154242054443481,0.5811261288208246,0.9919502732290751,2.302755530766892
CIMIS44AirTemperature,SAND | Subseq x2,Distance-based,Clustering,range,13,0.9686046786560301,0.19413761566243395,0.14555167484838422,0.14555167484838422,0.5901783291190698,0.9919102748250214,2.3893478769168723
CIMIS44AirTemperature,SAND | Init 3000,Distance-based,Clustering,range,13,0.9701731299395172,0.17489911257416615,0.14252221450243885,0.14252221450243885,0.5714561590635954,0.9918598874244036,2.368310976923497
CIMIS44AirTemperature,OCSVM | Gamma 0.1,Density-based,Distribution,range,13,0.4097749222943223,0.17461020452707665,0.13870477218163038,0.13870477218163038,0.6517738576766123,0.8089381394335311,0.03363116923048014
CIMIS44AirTemperature,SAND | k = 3,Distance-based,Clustering,range,13,0.9693650084322015,0.18139285974641112,0.13824347426021052,0.13824347426021052,0.588989072445988,0.9884166256170865,1.4457698692298995
CIMIS44AirTemperature,SAND | Batch 1000,Distance-based,Clustering,range,13,0.9641347331652648,0.13531982297631434,0.13462570853927083,0.13462570853927083,0.5644929043418287,0.9879015186042837,1.9206976307636627
CIMIS44AirTemperature,Matrix Profile | Baseline,Distance-based,Discord,range,13,0.9817566687458813,0.2265225769283104,0.11816823250034585,0.11816823250034585,0.6413918167221836,0.995786417883192,0.06456055384702404
CIMIS44AirTemperature,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,13,0.9608420781340197,0.1887352643643703,0.09319128765928839,0.09319128765928839,0.6265041499907619,0.9993923511204618,0.25049174615280484
CIMIS44AirTemperature,Local Outlier Factor | p = 1,Distance-based,Proximity,range,13,0.9608420781340197,0.1887352643643703,0.09319128765928839,0.09319128765928839,0.6265041499907619,0.9993923511204618,0.25050979230749915
CIMIS44AirTemperature,Matrix Profile | Subseq x1,Distance-based,Discord,range,13,0.9682935530300334,0.17183952002416739,0.09046250910368504,0.09046250910368504,0.6053554117960771,0.9995216841530206,0.062111623074787695
