dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_evaluation_f1
028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Metric manhattan,Metric manhattan,183,1,sigma,3.0,range,0.8
029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,183,1,sigma,3.0,range,0.4027831465017394
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,183,1,sigma,3.0,range,0.5365853658536585
031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,183,1,sigma,3.0,range,0.9019607843137256
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,178,1,sigma,3.0,range,0.7730690362269309
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,173,1,sigma,3.0,range,0.8306795795050079
034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Trees 400,Trees 400,154,1,sigma,3.0,range,0.8851957345636872
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,165,1,sigma,3.0,range,0.4916820702402957
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,175,1,sigma,3.0,range,0.0
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,33,1,sigma,3.0,range,0.2635658914728682
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,33,1,sigma,3.0,range,0.1105029079712624
